"","date","Noro_G2_norm_PMMoV_trimmed5","marketscan_cases"
"191",2023-07-10,0.00921764381190672,5
"192",2023-07-11,0.00897173347832027,9
"193",2023-07-12,0.00886755513183613,5
"194",2023-07-13,0.00886826333209716,5
"195",2023-07-14,0.00893052451601429,3
"196",2023-07-15,0.00900031642709049,1
"197",2023-07-16,0.00913389534707062,1
"198",2023-07-17,0.00919178571014577,4
"199",2023-07-18,0.00910473710636269,8
"200",2023-07-19,0.00892496997330395,4
"201",2023-07-20,0.00902047188536484,4
"202",2023-07-21,0.00908029982870607,9
"203",2023-07-22,0.00913739373262503,1
"204",2023-07-23,0.00920532905353934,2
"205",2023-07-24,0.00918736725565385,7
"206",2023-07-25,0.00879635200302386,4
"207",2023-07-26,0.00843544102188324,5
"208",2023-07-27,0.00829429690257243,9
"209",2023-07-28,0.00816857361456487,5
"210",2023-07-29,0.00815139202896283,1
"211",2023-07-30,0.00806931738972802,2
"212",2023-07-31,0.00762089809396426,7
"213",2023-08-01,0.00739970734013205,9
"214",2023-08-02,0.00711736759230788,8
"215",2023-08-03,0.00701569608758643,3
"216",2023-08-04,0.00697756911926113,7
"217",2023-08-05,0.00701517826616772,2
"218",2023-08-06,0.00706857966988896,3
"219",2023-08-07,0.00706513421048378,6
"220",2023-08-08,0.00705471612494642,3
"221",2023-08-09,0.0070415752466358,4
"222",2023-08-10,0.00711851620623497,8
"223",2023-08-11,0.00715635938118926,4
"224",2023-08-12,0.00715695344509862,3
"225",2023-08-13,0.00717396197630348,5
"226",2023-08-14,0.00717148068967908,10
"227",2023-08-15,0.00713006716058658,9
"228",2023-08-16,0.0071499182011699,6
"229",2023-08-17,0.00710293256718714,5
"230",2023-08-18,0.0070611499520028,2
"231",2023-08-19,0.00699827350242287,2
"232",2023-08-20,0.00694066382708842,4
"233",2023-08-21,0.00682728721512173,4
"234",2023-08-22,0.00678174700784799,6
"235",2023-08-23,0.00674471920934644,4
"236",2023-08-24,0.00682171109695629,4
"237",2023-08-25,0.00692257513600396,2
"238",2023-08-26,0.0069033982208699,1
"239",2023-08-27,0.00689535123288734,7
"240",2023-08-28,0.00699340775949095,5
"241",2023-08-29,0.00708688158977776,6
"242",2023-08-30,0.00715775673528168,3
"243",2023-08-31,0.0072329198656925,3
"244",2023-09-01,0.00735909744718777,4
"245",2023-09-02,0.00743274612917021,3
"246",2023-09-03,0.00749098170635496,4
"247",2023-09-04,0.00748121260880393,5
"248",2023-09-05,0.00744021610825341,7
"249",2023-09-06,0.00729482546792581,5
"250",2023-09-07,0.00741443854259914,7
"251",2023-09-08,0.00748917763507908,5
"252",2023-09-09,0.00759088594131863,6
"253",2023-09-10,0.00769396658327432,3
"254",2023-09-11,0.00781130772251065,4
"255",2023-09-12,0.007842233813069,5
"256",2023-09-13,0.00777388566302718,6
"257",2023-09-14,0.0077984407786195,4
"258",2023-09-15,0.00782401350410006,8
"259",2023-09-16,0.00784373471421561,1
"260",2023-09-17,0.00787809024090979,4
"261",2023-09-18,0.00800399176942479,6
"262",2023-09-19,0.0080876434766343,3
"263",2023-09-20,0.00814023542900165,2
"264",2023-09-21,0.00821957876892552,3
"265",2023-09-22,0.00835662077408702,5
"266",2023-09-23,0.0084695749430405,3
"267",2023-09-24,0.00855564073626516,0
"268",2023-09-25,0.0085737751492837,4
"269",2023-09-26,0.00855942983824355,7
"270",2023-09-27,0.00859913578247932,6
"271",2023-09-28,0.00867727126900362,4
"272",2023-09-29,0.00870061544515325,5
"273",2023-09-30,0.00880974226391797,0
"274",2023-10-01,0.00886440090440308,4
"275",2023-10-02,0.00900586489018665,8
"276",2023-10-03,0.00904936720587026,4
"277",2023-10-04,0.00904928963435284,4
"278",2023-10-05,0.00922997306348033,6
"279",2023-10-06,0.00941186070091114,2
"280",2023-10-07,0.00953957815089545,2
"281",2023-10-08,0.0096896812729568,3
"282",2023-10-09,0.00978031078158192,4
"283",2023-10-10,0.0099226953892505,9
"284",2023-10-11,0.0100968576387288,7
"285",2023-10-12,0.0103661009998405,6
"286",2023-10-13,0.0105086755509429,2
"287",2023-10-14,0.0106040641807511,3
"288",2023-10-15,0.0107230606707234,0
"289",2023-10-16,0.01086642460076,4
"290",2023-10-17,0.0111897550501741,5
"291",2023-10-18,0.0112141077533507,7
"292",2023-10-19,0.0112736860801783,6
"293",2023-10-20,0.0113247581173485,4
"294",2023-10-21,0.0115105951931473,6
"295",2023-10-22,0.0116594613160978,5
"296",2023-10-23,0.0118151981304409,2
"297",2023-10-24,0.0116695134633968,9
"298",2023-10-25,0.0116591676391002,3
"299",2023-10-26,0.0118560502957073,8
"300",2023-10-27,0.0121377180606809,4
"301",2023-10-28,0.0122472444746221,5
"302",2023-10-29,0.0123375203350878,4
"303",2023-10-30,0.0123882241240619,3
"304",2023-10-31,0.0123848931431429,2
"305",2023-11-01,0.0124420972435159,5
"306",2023-11-02,0.0127776899930105,7
"307",2023-11-03,0.0131530218131752,7
"308",2023-11-04,0.0133954302037884,4
"309",2023-11-05,0.0136375190451184,8
"310",2023-11-06,0.0139584494201814,7
"311",2023-11-07,0.0144705621127076,3
"312",2023-11-08,0.0151528781684967,7
"313",2023-11-09,0.0156941841865102,7
"314",2023-11-10,0.0160909191567212,4
"315",2023-11-11,0.0163815145463341,4
"316",2023-11-12,0.0174939261686402,2
"317",2023-11-13,0.0176993706405217,5
"318",2023-11-14,0.0180653476140743,9
"319",2023-11-15,0.0186306213769987,7
"320",2023-11-16,0.0194338105910913,6
"321",2023-11-17,0.0197383939450784,3
"322",2023-11-18,0.0199411086587116,4
"323",2023-11-19,0.0201434318190101,5
"324",2023-11-20,0.020706030109179,6
"325",2023-11-21,0.0225274076524334,6
"326",2023-11-22,0.0231168088769682,7
"327",2023-11-23,0.0234012408524067,2
"328",2023-11-24,0.023620510030613,3
"329",2023-11-25,0.0236454775220883,5
"330",2023-11-26,0.0238955240523487,5
"331",2023-11-27,0.0244278241071189,7
"332",2023-11-28,0.0250235010702218,6
"333",2023-11-29,0.0250961776938851,8
"334",2023-11-30,0.0253910309904599,7
"335",2023-12-01,0.0249927212039026,5
"336",2023-12-02,0.0244104595105556,6
"337",2023-12-03,0.0239878797708677,7
"338",2023-12-04,0.0238400694239141,8
